,Price
1162,6520000.0
1163,12800000.0
1164,6200000.0
1165,6400000.0
1166,8030000.0
1167,10000000.0
1168,12800000.0
1169,6800000.0
1170,14000000.0
1171,4200000.0
1172,4800000.0
1173,13500000.0
1174,2600000.0
1175,11200000.000000002
1176,4200000.0
1177,3800000.0
1178,13100000.0
1179,7541062.9170638705
1180,8500000.0
1181,7541062.9170638705
1182,14900000.0
1183,8400000.0
1184,9720000.0
1185,12600000.0
1186,6500000.0
1187,7200000.0
1188,4000000.0
1189,4650000.0
1190,11000000.0
1191,7500000.0
1192,8030000.0
1193,6000000.0
1194,10400000.0
1195,9800000.0
1196,4500000.0
1197,9250000.0
1198,5800000.0
1199,6000000.0
1200,6520000.0
1201,6500000.0
1202,13000000.0
1203,5200000.0
1204,11500000.0
1205,7500000.0
1206,10000000.0
1207,8500000.0
1208,7500000.0
1209,8000000.0
1210,6000000.0
1211,12800000.0
1212,5600000.0
1213,9400000.0
1214,4800000.0
1215,12000000.0
1216,7290000.000000001
1217,6500000.0
1218,10400000.0
1219,10600000.0
1220,6750000.0
1221,7030000.0
1222,7541062.9170638705
1223,9000000.0
1224,5000000.0
1225,3190000.0
1226,6000000.0
1227,12000000.0
1228,9500000.0
1229,7330000.0
1230,14700000.0
1231,6000000.0
1232,10000000.0
1233,11000000.0
1234,4800000.0
1235,6950000.0
1236,6520000.0
1237,13100000.0
1238,10400000.0
1239,6500000.0
1240,9500000.0
1241,8100000.0
1242,12500000.0
1243,5000000.0
1244,8950000.0
1245,8400000.0
1246,9400000.0
1247,6200000.0
1248,11000000.0
1249,3000000.0
1250,3900000.0
1251,5090000.0
1252,14700000.0
1253,6800000.0
1254,3500000.0
1255,4400000.0
1256,8570000.0
1257,11000000.0
1258,11200000.000000002
1259,6950000.0
1260,9800000.0
1261,7200000.0
1262,13200000.0
1263,3960000.0
1264,3500000.0
1265,6520000.0
1266,7200000.0
1267,7209999.999999999
1268,4620000.0
1269,4300000.0
1270,12000000.0
1271,8700000.0
1272,8000000.0
1273,11500000.0
1274,450000.0
1275,5000000.0
1276,6000000.0
1277,5800000.0
1278,11500000.0
1279,12600000.0
1280,11000000.0
1281,2400000.0
1282,7541062.9170638705
1283,8570000.0
1284,3690000.0
1285,10200000.0
1286,14900000.0
1287,12800000.0
1288,7020000.0
1289,4800000.0
1290,8700000.0
1291,3500000.0
1292,6600000.0
1293,4680000.0
1294,13000000.0
1295,13500000.0
1296,9070000.0
1297,10600000.0
1298,11600000.0
1299,6500000.0
1300,9800000.0
1301,8220000.0
1302,4850000.0
1303,7200000.0
1304,5500000.0
1305,7600000.0
1306,7780000.0
1307,5500000.0
1308,2700000.0
1309,6900000.0
1310,7780000.0
1311,5000000.0
1312,5600000.0
1313,8000000.0
1314,13200000.0
1315,7500000.0
1316,5000000.0
1317,8900000.0
1318,4200000.0
1319,4500000.0
1320,7200000.0
1321,11000000.0
1322,9900000.0
1323,2200000.0
1324,7500000.0
1325,14900000.0
1326,4400000.0
1327,7000000.0
1328,4500000.0
1329,7600000.0
1330,11800000.0
1331,10500000.0
1332,5700000.0
1333,14000000.0
1334,11000000.0
1335,2700000.0
1336,12500000.0
1337,4300000.0
1338,10000000.0
1339,6700000.0
1340,12600000.0
1341,7290000.000000001
1342,3800000.0
1343,7900000.0
1344,1000000.0
1345,12800000.0
1346,11500000.0
1347,12500000.0
1348,8600000.0
1349,4300000.0
1350,7000000.0
1351,7800000.0
1352,4000000.0
1353,12400000.0
1354,2950000.0
1355,4300000.0
1356,1500000.0
1357,12300000.0
1358,7500000.0
1359,2700000.0
1360,7541062.9170638705
1361,9700000.0
1362,7859999.999999999
1363,7209999.999999999
1364,6450000.0
1365,6000000.0
1366,4500000.0
1367,12600000.0
1368,14000000.0
1369,4700000.0
1370,7859999.999999999
1371,3400000.0
1372,7209999.999999999
1373,12000000.0
1374,3000000.0
1375,6800000.0
1376,4900000.0
1377,4450000.0
1378,8000000.0
1379,3500000.0
1380,5500000.0
1381,11200000.000000002
1382,5500000.0
1383,3550000.0
1384,7859999.999999999
1385,4500000.0
1386,3000000.0
1387,9800000.0
1388,11000000.0
1389,14500000.0
1390,4500000.0
1391,10000000.0
1392,8030000.0
1393,7300000.0
1394,9070000.0
1395,7780000.0
1396,900000.0
1397,4000000.0
1398,8000000.0
1399,7780000.0
1400,4670000.0
1401,2400000.0
1402,400000.0
1403,8000000.0
1404,8700000.0
1405,12600000.0
1406,9550000.0
1407,6100000.0
1408,4500000.0
1409,3750000.0
1410,4500000.0
1411,11000000.0
1412,5800000.0
1413,7859999.999999999
